instruction,intent,category,response
I need help with order tracking for order 100940,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with billing disputes for order 101080,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with escalation matrix for order 103240,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with password reset for order 102085,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with billing disputes for order 104850,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with payment methods for order 104140,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with technical troubleshooting for order 102520,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with password reset for order 103970,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with billing disputes for order 104005,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with technical troubleshooting for order 102845,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with shipping delays for order 104195,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with subscription cancellation for order 102155,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with subscription cancellation for order 101830,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with escalation matrix for order 102460,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with payment methods for order 103750,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with technical troubleshooting for order 102325,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with password reset for order 100460,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with account recovery for order 101430,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with product return for order 103075,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with billing disputes for order 102250,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with subscription cancellation for order 102285,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with billing disputes for order 103680,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with technical troubleshooting for order 104600,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with shipping delays for order 100685,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with payment methods for order 103100,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with order tracking for order 101850,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with product return for order 102230,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with payment methods for order 102320,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with account recovery for order 100780,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with refund policy for order 103245,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with order tracking for order 104320,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with payment methods for order 104725,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with escalation matrix for order 104280,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with subscription cancellation for order 105080,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with billing disputes for order 102510,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with shipping delays for order 103285,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with escalation matrix for order 104020,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with subscription cancellation for order 102415,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with billing disputes for order 102185,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with data privacy for order 104630,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with payment methods for order 105115,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with payment methods for order 100435,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with billing disputes for order 100365,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with subscription cancellation for order 102090,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with subscription cancellation for order 100855,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with order tracking for order 104970,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with subscription cancellation for order 103390,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with escalation matrix for order 104865,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with product return for order 103270,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with order tracking for order 103150,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with subscription cancellation for order 105145,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with data privacy for order 102355,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with escalation matrix for order 101940,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with password reset for order 102540,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with technical troubleshooting for order 102260,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with escalation matrix for order 100900,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with account recovery for order 104355,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with data privacy for order 101575,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with billing disputes for order 101795,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with shipping delays for order 102310,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with technical troubleshooting for order 102130,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with account recovery for order 101950,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with order tracking for order 102825,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with data privacy for order 103200,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with payment methods for order 104010,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with payment methods for order 102710,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with escalation matrix for order 105255,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with escalation matrix for order 103370,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with account recovery for order 100845,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with account recovery for order 104420,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with working hours for order 104315,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with subscription cancellation for order 101960,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with refund policy for order 102530,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with escalation matrix for order 104995,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with product return for order 102880,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with technical troubleshooting for order 101805,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with payment methods for order 104075,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with data privacy for order 105085,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with working hours for order 104055,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with password reset for order 100265,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with subscription cancellation for order 103260,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with subscription cancellation for order 104820,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with refund policy for order 102725,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with billing disputes for order 100560,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with working hours for order 103795,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with data privacy for order 100405,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with shipping delays for order 103220,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with shipping delays for order 101725,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with refund policy for order 102010,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with data privacy for order 100340,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with working hours for order 100480,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with escalation matrix for order 102785,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with account recovery for order 103965,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with payment methods for order 105050,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with shipping delays for order 103740,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with escalation matrix for order 104475,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with order tracking for order 104060,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with account recovery for order 102665,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with order tracking for order 102500,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with shipping delays for order 101465,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with technical troubleshooting for order 100115,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with password reset for order 104295,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with payment methods for order 101735,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with password reset for order 102475,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with product return for order 104180,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with password reset for order 104620,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with account recovery for order 103705,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with order tracking for order 101005,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with product return for order 101190,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with product return for order 103725,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with product return for order 101125,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with escalation matrix for order 105385,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with technical troubleshooting for order 100440,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with data privacy for order 105345,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with refund policy for order 101100,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with order tracking for order 104125,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with data privacy for order 103720,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with payment methods for order 100630,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with data privacy for order 103590,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with technical troubleshooting for order 103040,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with payment methods for order 105375,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with refund policy for order 103570,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with billing disputes for order 103225,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with refund policy for order 105260,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with shipping delays for order 101660,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with product return for order 102425,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with technical troubleshooting for order 105120,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with product return for order 101385,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with working hours for order 101195,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with working hours for order 101845,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with payment methods for order 101475,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with shipping delays for order 100035,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with password reset for order 102345,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with working hours for order 104835,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with subscription cancellation for order 103650,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with order tracking for order 104385,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with order tracking for order 103215,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with product return for order 104310,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with account recovery for order 103055,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with refund policy for order 104155,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with password reset for order 101825,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with subscription cancellation for order 100140,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with technical troubleshooting for order 100050,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with payment methods for order 102840,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with refund policy for order 105195,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with payment methods for order 100890,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with subscription cancellation for order 102545,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with technical troubleshooting for order 102390,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with shipping delays for order 102830,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with shipping delays for order 104065,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with shipping delays for order 102375,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with working hours for order 103015,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with product return for order 100735,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with subscription cancellation for order 101440,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with data privacy for order 102875,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with refund policy for order 100710,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with technical troubleshooting for order 104990,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with password reset for order 100850,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with shipping delays for order 103350,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with working hours for order 101000,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with payment methods for order 103945,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with technical troubleshooting for order 104340,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with payment methods for order 103230,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with subscription cancellation for order 101310,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with shipping delays for order 104520,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with product return for order 104375,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with billing disputes for order 103485,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with order tracking for order 103540,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with product return for order 100085,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with account recovery for order 104160,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with account recovery for order 104745,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with order tracking for order 104710,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with order tracking for order 104645,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with product return for order 104505,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with subscription cancellation for order 102740,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with data privacy for order 100275,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with refund policy for order 101035,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with subscription cancellation for order 103715,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with subscription cancellation for order 104430,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with billing disputes for order 103940,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with working hours for order 101390,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with order tracking for order 101655,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with working hours for order 103275,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with password reset for order 102020,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with escalation matrix for order 100575,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with product return for order 102360,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with technical troubleshooting for order 104795,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with payment methods for order 101280,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with billing disputes for order 100300,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with password reset for order 103905,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with working hours for order 102040,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with subscription cancellation for order 104885,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with shipping delays for order 104975,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with escalation matrix for order 100380,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with order tracking for order 101525,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with working hours for order 102365,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with account recovery for order 105395,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with account recovery for order 102340,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with escalation matrix for order 100185,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with payment methods for order 105245,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with billing disputes for order 101535,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with payment methods for order 100955,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with account recovery for order 105135,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with refund policy for order 101230,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with refund policy for order 102140,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with refund policy for order 102920,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with working hours for order 103665,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with refund policy for order 102335,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with account recovery for order 103835,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with technical troubleshooting for order 104470,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with shipping delays for order 103025,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with refund policy for order 100970,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with data privacy for order 103980,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with password reset for order 105335,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with refund policy for order 103765,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with working hours for order 102430,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with escalation matrix for order 100250,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with payment methods for order 100110,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with refund policy for order 102270,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with billing disputes for order 101925,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with password reset for order 105075,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with billing disputes for order 100105,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with product return for order 103985,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with working hours for order 100935,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with escalation matrix for order 102720,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with working hours for order 104250,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with password reset for order 101695,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with refund policy for order 104025,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with technical troubleshooting for order 101415,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with working hours for order 104900,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with shipping delays for order 100165,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with password reset for order 105010,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with shipping delays for order 105170,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with account recovery for order 100520,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with escalation matrix for order 101875,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with billing disputes for order 105110,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with data privacy for order 104500,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with subscription cancellation for order 101050,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with password reset for order 100590,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with account recovery for order 103380,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with shipping delays for order 103610,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with refund policy for order 104870,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with product return for order 103595,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with shipping delays for order 101855,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with order tracking for order 101980,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with escalation matrix for order 103955,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with shipping delays for order 101530,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with payment methods for order 101410,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with product return for order 104635,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with order tracking for order 104840,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with subscription cancellation for order 102350,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with product return for order 100020,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with account recovery for order 102795,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with refund policy for order 104935,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with escalation matrix for order 104540,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with shipping delays for order 103155,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with product return for order 101710,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with subscription cancellation for order 104365,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with technical troubleshooting for order 103560,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with subscription cancellation for order 104755,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with refund policy for order 100515,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with payment methods for order 104985,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with escalation matrix for order 101030,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with account recovery for order 100715,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with billing disputes for order 100885,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with account recovery for order 101040,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with data privacy for order 100730,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with data privacy for order 103395,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with order tracking for order 101265,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with subscription cancellation for order 101245,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
